track_id,genre,split
2,Hip-Hop,training
3,Hip-Hop,training
5,Hip-Hop,training
10,Pop,training
134,Hip-Hop,training
136,Rock,training
139,Folk,training
140,Folk,training
141,Folk,training
148,Experimental,validation
190,Folk,training
193,Folk,training
194,Folk,training
197,Folk,training
198,Folk,training
200,Folk,training
203,Folk,training
204,Folk,training
207,Folk,training
208,Folk,training
209,Folk,training
210,Folk,training
211,Folk,training
212,Folk,training
213,Pop,training
237,Jazz,training
247,Rock,training
255,Rock,training
257,Rock,training
258,Rock,training
352,Rock,training
424,Experimental,training
425,Experimental,training
458,Rock,validation
459,Rock,validation
534,Folk,training
535,Folk,training
536,Folk,training
537,Folk,training
540,Folk,training
546,Folk,training
550,Electronic,training
564,Rock,test
574,Rock,training
583,Hip-Hop,validation
584,Hip-Hop,validation
585,Hip-Hop,validation
590,Jazz,training
591,Jazz,training
592,Jazz,training
593,Jazz,training
602,Folk,validation
603,Folk,validation
615,Experimental,training
619,Folk,training
620,Folk,training
621,Folk,training
625,Folk,training
629,Folk,training
631,Folk,training
665,Electronic,training
666,International,training
667,International,training
668,Hip-Hop,training
669,Hip-Hop,training
672,Hip-Hop,training
673,Hip-Hop,training
674,Hip-Hop,training
676,Hip-Hop,training
677,Hip-Hop,training
679,Hip-Hop,training
680,Hip-Hop,training
681,Hip-Hop,training
684,Hip-Hop,training
686,Hip-Hop,training
694,Hip-Hop,training
695,Hip-Hop,training
696,Rock,training
701,Rock,training
704,International,test
705,International,test
706,International,test
707,International,test
708,International,test
709,International,test
714,Folk,training
715,Folk,training
716,Folk,training
717,Folk,training
718,Folk,training
734,Soul-RnB,test
735,Soul-RnB,test
736,Soul-RnB,test
737,Soul-RnB,test
738,Soul-RnB,test
739,Soul-RnB,test
740,Soul-RnB,test
741,Soul-RnB,test
742,Soul-RnB,test
743,Soul-RnB,test
744,Soul-RnB,test
745,Soul-RnB,test
747,Soul-RnB,test
748,Soul-RnB,test
749,Soul-RnB,test
750,Soul-RnB,test
751,Soul-RnB,test
752,Soul-RnB,test
753,Soul-RnB,test
754,Soul-RnB,test
755,Soul-RnB,test
756,Soul-RnB,test
757,Soul-RnB,test
758,Soul-RnB,test
759,Soul-RnB,test
760,Soul-RnB,test
761,Soul-RnB,test
762,Soul-RnB,test
763,Soul-RnB,test
764,Soul-RnB,test
765,Soul-RnB,test
766,Soul-RnB,test
767,Soul-RnB,test
768,Soul-RnB,test
769,Soul-RnB,test
770,Soul-RnB,test
771,Soul-RnB,test
772,Soul-RnB,test
773,Soul-RnB,test
774,Soul-RnB,test
775,Soul-RnB,test
776,Soul-RnB,test
777,Rock,training
814,Folk,training
819,Experimental,training
820,Experimental,training
821,Pop,training
822,Pop,training
823,Pop,training
825,Rock,training
829,Rock,training
830,Rock,training
831,Jazz,training
832,Jazz,training
833,Jazz,training
834,Jazz,training
835,Jazz,training
853,International,training
854,Experimental,test
858,Rock,training
861,Rock,training
868,Experimental,training
890,Folk,test
891,Folk,test
892,Folk,test
893,Folk,test
894,Folk,test
895,Folk,test
896,Rock,training
897,Experimental,training
898,Experimental,training
993,Rock,validation
995,Experimental,training
997,Experimental,training
998,Experimental,training
1017,Rock,validation
1022,Jazz,training
1023,Jazz,training
1028,Rock,training
1029,Rock,training
1040,Rock,training
1041,Rock,training
1052,Rock,training
1058,Jazz,training
1059,Jazz,training
1060,Jazz,training
1061,Jazz,training
1063,Jazz,training
1064,Jazz,training
1066,Experimental,test
1068,Experimental,test
1069,Experimental,test
1071,Experimental,test
1072,Experimental,test
1073,Experimental,test
1075,Experimental,test
1082,International,training
1083,Experimental,training
1085,Electronic,validation
1088,Electronic,validation
1089,Electronic,validation
1093,Experimental,training
1095,Experimental,training
1107,Rock,training
1117,Rock,validation
1118,Rock,validation
1123,Rock,training
1138,Rock,validation
1148,Rock,training
1150,Rock,training
1151,Jazz,training
1152,Jazz,training
1153,Jazz,training
1154,Jazz,training
1155,Jazz,training
1156,Rock,training
1183,Rock,training
1193,Folk,training
1195,Folk,training
1196,Folk,training
1197,Folk,training
1199,Folk,training
1204,Rock,training
1249,Experimental,test
1259,Experimental,test
1276,Experimental,training
1277,Experimental,training
1278,Experimental,training
1279,Rock,validation
1290,Rock,validation
1311,Folk,training
1339,Electronic,training
1356,Rock,training
1360,Rock,training
1361,Rock,training
1363,Rock,training
1366,Rock,training
1383,Rock,validation
1416,Rock,training
1417,Rock,training
1418,Rock,training
1443,Experimental,training
1451,Rock,training
1482,Electronic,training
1498,Experimental,training
1510,Experimental,training
1534,Rock,training
1544,Folk,training
1545,Folk,training
1547,Electronic,training
1548,Electronic,training
1550,Electronic,training
1551,Electronic,training
1554,Electronic,training
1555,Electronic,training
1556,Electronic,training
1559,Experimental,training
1634,Electronic,training
1635,Electronic,training
1642,Pop,training
1644,Pop,training
1649,Pop,training
1652,Pop,training
1661,Pop,training
1663,Pop,training
1666,Pop,training
1671,Experimental,training
1673,Experimental,training
1674,Experimental,training
1678,Electronic,training
1680,International,training
1681,International,training
1682,International,training
1683,International,training
1684,International,training
1685,International,training
1686,International,training
1687,International,training
1688,International,training
1689,International,training
1701,Folk,training
1702,Folk,training
1703,Folk,training
1704,Folk,training
1705,Folk,training
1706,Rock,training
1720,Rock,training
1730,Rock,training
1732,Experimental,training
1733,Experimental,training
1734,Experimental,training
1735,Experimental,training
1736,Experimental,training
1738,Experimental,training
1739,Experimental,training
1804,Rock,training
1884,Rock,training
1888,Rock,training
1891,Rock,training
1893,Folk,validation
1894,Folk,validation
1896,Folk,validation
1898,Rock,training
1901,Rock,training
1916,Folk,training
1924,Folk,training
1925,Folk,training
1926,Folk,training
1929,Experimental,training
1930,Rock,training
1941,Rock,validation
1963,Jazz,training
1964,Jazz,training
1965,Jazz,training
1966,Jazz,training
1967,Jazz,training
1995,Rock,training
1996,Jazz,training
2012,Experimental,validation
2096,Experimental,training
2097,Folk,training
2099,Pop,training
3263,Folk,validation
3264,Folk,validation
3265,Folk,validation
3266,Folk,validation
3270,Folk,training
3271,Folk,training
3272,Folk,training
3273,Folk,training
3274,Folk,training
3446,Spoken,training
3449,Spoken,training
3450,Spoken,training
3454,Electronic,training
3458,Electronic,training
3459,Country,training
3460,Country,training
3461,Country,training
3462,Country,training
3463,Country,training
3464,Country,training
3465,Country,training
3476,Rock,training
3477,Rock,training
3479,Rock,training
3493,Rock,training
3495,Rock,training
3497,Rock,training
3499,Rock,training
3503,Rock,training
3505,Rock,training
3514,Rock,training
3515,Rock,training
3516,Rock,training
3517,Rock,training
3521,Rock,training
3522,Rock,training
3532,Pop,training
3533,Pop,training
3534,Pop,training
3535,Pop,training
3536,Pop,training
3537,Pop,training
3538,Pop,training
3557,Electronic,training
3558,Electronic,training
3560,Electronic,training
3563,Electronic,training
3564,Electronic,training
3566,Electronic,training
3567,Electronic,training
3571,Electronic,training
3572,Electronic,training
3573,Electronic,training
3579,Rock,validation
3582,Rock,validation
3583,Rock,validation
3584,Rock,validation
3585,Rock,validation
3598,Folk,training
3603,Rock,training
3609,Rock,training
3613,Rock,test
3624,Rock,test
3626,Rock,validation
3681,Rock,training
3696,Rock,training
3707,Folk,training
3708,Folk,training
3720,Rock,training
3721,Rock,training
3725,Rock,training
3765,Rock,training
3775,International,training
3776,International,training
3777,International,training
3778,International,training
3779,International,training
3832,Folk,training
3834,Rock,training
3836,Rock,training
3839,Rock,training
3840,Rock,training
3854,Rock,training
3856,Rock,training
3880,Folk,training
3895,International,training
3896,International,training
3904,Folk,training
3905,Folk,training
3906,Folk,training
3908,Folk,training
3909,Folk,training
3910,Folk,training
3911,Folk,training
3912,Folk,training
3913,Folk,training
3915,Folk,training
3919,Folk,training
3920,Folk,training
3921,Folk,training
3932,Rock,training
3939,Rock,training
3952,Rock,training
3954,Rock,training
3955,Rock,training
3956,Rock,training
3958,Rock,training
3983,Rock,training
3985,Rock,training
3989,Rock,training
4004,Rock,training
4013,Folk,training
4014,Folk,training
4017,Folk,training
4024,Rock,validation
4028,Rock,validation
4034,Rock,validation
4037,Folk,training
4038,Rock,training
4042,Rock,training
4043,Rock,training
4045,Rock,training
4066,Folk,training
4067,Folk,training
4068,Folk,training
4069,Folk,training
4070,International,training
4071,International,training
4072,International,training
4073,International,training
4074,International,training
4075,International,training
4076,International,training
4077,International,training
4078,International,training
4079,International,training
4080,International,training
4084,Rock,training
4091,International,training
4092,International,training
4093,International,training
4094,International,training
4095,International,training
4096,International,training
4097,International,training
4098,International,training
